DOI,f_avg_core_width_,f_Ms_emu_g_MNP,f_Hc_,c_core_composition,c_dopant_element_1,c_dopant_element_2,c_is_coated,f_H_,f_FCY_,f_conc_MNP_mg_mL,c_shape_type,c_magnetic_phase,SAR_W_g,f_avg_core_sd_ _BOTH,f_area_volume_ratio,f_Mr_Ms_BOTH,f_dopant_ratio_1,f_dopant_ratio_2
10.1039/ d1ra07407e,80,30,,La0.75Sr0.25MnO3,Sr,,agarose,880,108,100,,ferromagnetic,22,,,,0.25,
10.1039/ d1ra07407e,80,30,,La0.75Sr0.25MnO3,Sr,,agarose,880,108,100,,ferromagnetic,15,,,,0.25,
10.1039/ d1ra07407e,80,25,,La0.73Sr0.27MnO3,Sr,,agarose,880,108,100,,ferromagnetic,15,,,,0.27,
10.3390/ nano9081176,80,25,,La0.73Sr0.27MnO3,Sr,,agarose,880,108,100,,ferromagnetic,9,,,,0.27,
10.3390/ nano9081176,80,24,,La0.7Sr0.3MnO3,Sr,,agarose,880,108,100,,ferromagnetic,15,,,,0.3,
10.1016/ j.jmmm.2018.02.052,80,24,,La0.7Sr0.3MnO3,Sr,,agarose,880,108,100,,ferromagnetic,10,,,,0.3,
10.1016/ j.jmmm.2018.02.052,80,25,,La0.73Sr0.27MnO3,Sr,,agarose,880,108,100,,ferromagnetic,3,,,,0.27,
10.1016/ j.jmmm.2018.02.052,80,25,,La0.73Sr0.27MnO3,Sr,,agarose,880,108,100,,ferromagnetic,1,,,,0.27,
10.1016/ j.jmmm.2018.02.052,80,24,,La0.7Sr0.3MnO3,Sr,,agarose,880,108,100,,ferromagnetic,5,,,,0.3,
10.1016/ j.jmmm.2018.02.052,20,70,0,gamma-Al0.07Fe1.93O3,Al,,agarose,880,108,100,,superparamagnetic,67,,,,0.07,
10.1016/ j.jmmm.2018.02.052,52,,,La0.75Sr0.25MnO3,Sr,,,880,108,,spherical,ferromagnetic,385,,,,0.25,
10.1016/ j.jmmm.2006.11.179,52,,,La0.75Sr0.25MnO3,Sr,,,880,108,,spherical,ferromagnetic,552,,,,0.25,
10.1016/ j.jmmm.2006.11.179,80,76,,MnFe2O4,,,,817.05,355,,aggregate,,1170,,,,,
